caseid,Age_group,Sex,Province,Household_size,Find_job,Further_schooling,Morejob,Activity,Media,Stress
8650,55 to 64,Male,Alberta,Two household members,notask,Yes,None,Sometime,Sometime,0
8651,55 to 64,Female,Saskatchewan,Two household members,notask,Yes,None,Sometime,Sometime,0
8652,25 to 34,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
8653,45 to 54,Female,Prince Edward Island,Two household members,notask,No,Yes,Sometime,Sometime,1
8654,35 to 44,Male,British Columbia,One household member,notask,Yes,None,No time,Sometime,1
8655,45 to 54,Female,Ontario,Three household members,asked,No,None,Sometime,No time,1
8656,25 to 34,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
8657,55 to 64,Male,Manitoba,Two household members,notask,Yes,None,No time,Sometime,0
8658,25 to 34,Female,Saskatchewan,One household member,notask,No,None,Sometime,Sometime,1
8659,35 to 44,Male,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,0
8660,65 to 74,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
8661,35 to 44,Female,Newfoundland and Labrador,Two household members,notask,Yes,None,Sometime,Sometime,1
8662,45 to 54,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
8663,45 to 54,Male,New Brunswick,Four household members,notask,Yes,None,No time,No time,0
8664,75 years and over,Female,Manitoba,One household member,notask,Yes,None,Sometime,Sometime,0
8665,55 to 64,Male,Quebec,Two household members,notask,No,None,Sometime,Sometime,0
8666,25 to 34,Male,New Brunswick,Four household members,notask,No,None,No time,No time,0
8667,45 to 54,Male,Newfoundland and Labrador,One household member,notask,No,None,Sometime,Sometime,0
8668,45 to 54,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
8669,55 to 64,Female,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
8670,35 to 44,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
8671,25 to 34,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
8672,45 to 54,Female,Quebec,Four household members,notask,No,None,No time,Sometime,0
8673,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
8674,75 years and over,Female,British Columbia,One household member,notask,No,None,No time,No time,0
8675,45 to 54,Female,Alberta,One household member,notask,Yes,None,No time,Sometime,1
8676,75 years and over,Female,Saskatchewan,One household member,notask,No,None,No time,Sometime,0
8677,75 years and over,Female,Saskatchewan,One household member,notask,Yes,None,No time,Sometime,0
8678,25 to 34,Female,Alberta,Six household members or more,notask,Yes,None,No time,Sometime,1
8679,35 to 44,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
8680,25 to 34,Female,British Columbia,Four household members,notask,Yes,None,Sometime,Sometime,1
8681,65 to 74,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
8682,55 to 64,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
8683,35 to 44,Male,Alberta,Three household members,notask,Yes,None,No time,Sometime,1
8684,75 years and over,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
8685,55 to 64,Male,British Columbia,Six household members or more,notask,Yes,None,Sometime,Sometime,1
8686,25 to 34,Female,Ontario,Six household members or more,notask,Yes,None,Sometime,Sometime,1
8687,15 to 24,Male,Quebec,Two household members,asked,No,None,Sometime,Sometime,1
8688,35 to 44,Male,Quebec,Five household members,notask,Yes,None,No time,Sometime,0
8689,65 to 74,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
8690,45 to 54,Female,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,0
8691,65 to 74,Female,Newfoundland and Labrador,Two household members,notask,No,None,No time,Sometime,0
8692,45 to 54,Female,Ontario,Four household members,notask,No,None,Sometime,Sometime,1
8693,55 to 64,Female,Alberta,Two household members,notask,Yes,None,No time,Sometime,1
8694,65 to 74,Male,New Brunswick,One household member,notask,Yes,None,Sometime,Sometime,0
8695,45 to 54,Female,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,1
8696,45 to 54,Male,Nova Scotia,Two household members,asked,No,None,Sometime,Sometime,1
8697,45 to 54,Female,British Columbia,One household member,notask,Yes,None,No time,Sometime,0
8698,45 to 54,Male,Saskatchewan,Four household members,notask,Yes,Yes,Sometime,Sometime,1
8699,25 to 34,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,1
8700,55 to 64,Male,Manitoba,Two household members,notask,No,None,Sometime,Sometime,1
8701,35 to 44,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,1
8702,65 to 74,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
8703,45 to 54,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
8704,35 to 44,Female,Manitoba,Five household members,notask,Yes,None,Sometime,Sometime,1
8705,55 to 64,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
8706,55 to 64,Male,Nova Scotia,Two household members,notask,Yes,None,No time,Sometime,0
8707,35 to 44,Female,Quebec,Three household members,notask,No,None,Sometime,No time,1
8708,55 to 64,Female,Nova Scotia,Two household members,notask,Yes,None,No time,Sometime,0
8709,35 to 44,Female,Nova Scotia,Four household members,notask,No,None,No time,Sometime,1
8710,35 to 44,Female,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,1
8711,55 to 64,Female,New Brunswick,One household member,notask,Yes,None,Sometime,Sometime,0
8712,25 to 34,Female,British Columbia,Two household members,notask,No,None,No time,Sometime,1
8713,55 to 64,Female,Newfoundland and Labrador,One household member,notask,Yes,None,Sometime,Sometime,0
8714,15 to 24,Male,British Columbia,Three household members,asked,No,None,Sometime,Sometime,0
8715,15 to 24,Female,British Columbia,Four household members,notask,No,None,Sometime,Sometime,1
8716,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
8717,75 years and over,Male,British Columbia,One household member,notask,Yes,None,No time,Sometime,1
8718,45 to 54,Male,Quebec,Four household members,notask,Yes,None,No time,Sometime,0
8719,25 to 34,Female,Ontario,Three household members,notask,Yes,None,No time,Sometime,0
8720,75 years and over,Female,British Columbia,One household member,notask,Yes,None,No time,Sometime,0
8721,55 to 64,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
8722,25 to 34,Male,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
8723,75 years and over,Female,Ontario,Two household members,notask,No,None,No time,Sometime,0
8724,35 to 44,Male,British Columbia,Three household members,notask,Yes,None,No time,Sometime,1
8725,55 to 64,Male,Ontario,One household member,notask,No,None,No time,Sometime,0
8726,45 to 54,Male,Saskatchewan,Two household members,notask,Yes,None,Sometime,No time,1
8727,25 to 34,Female,Nova Scotia,Two household members,notask,Yes,None,No time,Sometime,1
8728,65 to 74,Male,Prince Edward Island,Two household members,notask,No,None,Sometime,Sometime,0
8729,55 to 64,Female,Newfoundland and Labrador,Three household members,notask,Yes,None,No time,Sometime,0
8730,35 to 44,Male,Manitoba,One household member,notask,Yes,None,Sometime,Sometime,0
8731,65 to 74,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
8732,55 to 64,Female,Alberta,Five household members,notask,Yes,None,No time,No time,0
8733,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
8734,25 to 34,Male,Ontario,Three household members,notask,Yes,None,Sometime,No time,0
8735,25 to 34,Female,Quebec,Three household members,notask,Yes,None,Sometime,Sometime,1
8736,15 to 24,Female,Ontario,Two household members,asked,Yes,None,Sometime,Sometime,0
8737,35 to 44,Male,Alberta,Four household members,notask,No,None,No time,No time,1
8738,35 to 44,Female,Saskatchewan,One household member,notask,No,None,Sometime,Sometime,1
8739,75 years and over,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
8740,55 to 64,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
8742,65 to 74,Female,Quebec,Two household members,notask,No,None,No time,Sometime,0
8743,35 to 44,Male,Ontario,One household member,notask,No,None,No time,No time,1
8744,65 to 74,Female,Quebec,Two household members,notask,No,None,Sometime,Sometime,1
8745,55 to 64,Female,Newfoundland and Labrador,Two household members,notask,No,None,No time,Sometime,1
8746,15 to 24,Male,Saskatchewan,Five household members,notask,No,None,Sometime,No time,0
8747,75 years and over,Male,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
8748,45 to 54,Female,British Columbia,One household member,notask,Yes,None,No time,No time,1
8749,25 to 34,Male,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,0
8750,65 to 74,Female,Quebec,Two household members,notask,No,None,No time,Sometime,1
8751,45 to 54,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
8752,25 to 34,Male,Manitoba,One household member,notask,Yes,None,Sometime,Sometime,1
8753,45 to 54,Male,Alberta,One household member,notask,Yes,None,No time,Sometime,1
8754,35 to 44,Female,Manitoba,Four household members,notask,Yes,None,Sometime,Sometime,1
8755,65 to 74,Male,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
8756,45 to 54,Male,Quebec,Two household members,notask,Yes,None,No time,No time,0
8757,75 years and over,Female,Nova Scotia,One household member,notask,Yes,None,Sometime,Sometime,0
8758,55 to 64,Male,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,1
8759,65 to 74,Female,Saskatchewan,One household member,notask,Yes,None,Sometime,No time,1
8760,75 years and over,Female,Ontario,Two household members,notask,No,None,No time,Sometime,0
8761,65 to 74,Female,Ontario,One household member,notask,Yes,None,Sometime,No time,0
8762,35 to 44,Male,Ontario,Three household members,notask,Yes,None,No time,No time,1
8763,35 to 44,Female,Manitoba,Five household members,notask,Yes,None,Sometime,Sometime,1
8764,45 to 54,Female,Quebec,Three household members,notask,Yes,None,Sometime,Sometime,0
8765,55 to 64,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
8767,25 to 34,Male,Saskatchewan,Three household members,notask,Yes,None,No time,Sometime,1
8768,15 to 24,Female,Quebec,Two household members,notask,No,None,No time,Sometime,1
8769,15 to 24,Male,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
8770,45 to 54,Female,Saskatchewan,One household member,notask,Yes,None,Sometime,Sometime,0
8771,55 to 64,Female,Nova Scotia,One household member,notask,Yes,None,Sometime,Sometime,0
8772,55 to 64,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
8773,65 to 74,Male,Ontario,One household member,notask,No,None,Sometime,Sometime,0
8774,55 to 64,Female,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,0
8775,75 years and over,Female,New Brunswick,One household member,notask,No,None,No time,Sometime,1
8776,65 to 74,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
8777,55 to 64,Male,Saskatchewan,One household member,notask,Yes,None,No time,No time,0
8778,35 to 44,Female,British Columbia,Four household members,notask,No,None,No time,Sometime,1
8779,45 to 54,Female,Ontario,Four household members,notask,Yes,None,Sometime,No time,1
8780,15 to 24,Female,Ontario,Three household members,notask,Yes,Yes,Sometime,Sometime,0
8781,75 years and over,Male,Quebec,Two household members,notask,No,None,No time,Sometime,0
8782,45 to 54,Female,Alberta,Four household members,notask,Yes,None,No time,Sometime,0
8783,55 to 64,Female,Newfoundland and Labrador,Two household members,notask,No,None,Sometime,Sometime,0
8784,35 to 44,Male,British Columbia,Four household members,notask,Yes,None,Sometime,Sometime,1
8785,55 to 64,Male,Nova Scotia,Two household members,notask,Yes,Yes,No time,No time,1
8786,45 to 54,Female,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,1
8787,55 to 64,Female,Alberta,One household member,notask,No,None,No time,Sometime,1
8788,25 to 34,Male,Prince Edward Island,Two household members,notask,Yes,None,No time,Sometime,0
8789,35 to 44,Female,Newfoundland and Labrador,Five household members,notask,Yes,None,No time,Sometime,1
8790,25 to 34,Male,Nova Scotia,One household member,notask,Yes,None,No time,Sometime,1
8791,35 to 44,Female,Ontario,Three household members,notask,Yes,None,No time,Sometime,1
8792,75 years and over,Female,Alberta,One household member,notask,Yes,None,No time,Sometime,0
8793,65 to 74,Female,British Columbia,One household member,notask,Yes,None,No time,Sometime,0
8794,25 to 34,Female,Quebec,Two household members,notask,Yes,None,No time,No time,1
8795,55 to 64,Male,Saskatchewan,One household member,notask,No,None,No time,Sometime,1
8796,45 to 54,Female,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,1
8797,75 years and over,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
8798,35 to 44,Female,Ontario,Three household members,asked,Yes,None,No time,Sometime,0
8799,45 to 54,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
8800,45 to 54,Female,Newfoundland and Labrador,Three household members,notask,No,None,No time,Sometime,1
8802,15 to 24,Female,Ontario,Four household members,asked,Yes,None,No time,Sometime,1
8803,35 to 44,Female,Ontario,Six household members or more,notask,Yes,None,No time,Sometime,1
8804,65 to 74,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
8805,75 years and over,Male,Ontario,Two household members,asked,Yes,None,No time,Sometime,0
8806,75 years and over,Female,Manitoba,One household member,notask,No,None,No time,Sometime,1
8807,25 to 34,Female,Quebec,Three household members,notask,Yes,None,No time,Sometime,1
8808,65 to 74,Male,Ontario,One household member,notask,Yes,None,No time,No time,0
8809,35 to 44,Female,Manitoba,Five household members,notask,Yes,None,Sometime,Sometime,1
8810,45 to 54,Female,British Columbia,Four household members,notask,Yes,None,No time,Sometime,1
8811,45 to 54,Male,Saskatchewan,One household member,notask,Yes,None,No time,No time,0
8812,65 to 74,Male,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
8813,75 years and over,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
8814,25 to 34,Female,Ontario,Four household members,notask,No,None,Sometime,Sometime,1
8815,45 to 54,Female,Saskatchewan,One household member,notask,Yes,None,No time,Sometime,1
8816,55 to 64,Male,Manitoba,Two household members,notask,No,None,No time,No time,0
8817,75 years and over,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
8818,65 to 74,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
8819,35 to 44,Male,Saskatchewan,Five household members,notask,No,None,Sometime,Sometime,1
8820,25 to 34,Female,Alberta,Four household members,notask,Yes,None,Sometime,Sometime,0
8821,65 to 74,Male,Nova Scotia,Two household members,notask,Yes,None,Sometime,Sometime,0
8822,15 to 24,Male,Quebec,Four household members,notask,Yes,None,Sometime,Sometime,1
8823,35 to 44,Male,Alberta,Four household members,notask,Yes,None,No time,Sometime,1
8824,65 to 74,Male,Quebec,One household member,notask,Yes,None,No time,Sometime,0
8825,45 to 54,Female,Newfoundland and Labrador,Two household members,notask,No,None,No time,No time,1
8826,35 to 44,Female,Saskatchewan,Four household members,notask,No,None,Sometime,No time,0
8827,45 to 54,Female,Ontario,Three household members,notask,Yes,None,No time,Sometime,1
8828,45 to 54,Female,New Brunswick,Three household members,notask,No,None,No time,Sometime,0
8829,75 years and over,Male,British Columbia,Two household members,notask,No,None,Sometime,Sometime,0
8830,55 to 64,Male,British Columbia,One household member,notask,Yes,None,No time,No time,1
8831,65 to 74,Female,British Columbia,Two household members,notask,Yes,None,No time,No time,0
8832,35 to 44,Female,Nova Scotia,Four household members,notask,Yes,None,No time,Sometime,1
8833,45 to 54,Female,Nova Scotia,Two household members,notask,No,None,No time,No time,0
8834,65 to 74,Male,Manitoba,Two household members,notask,No,None,Sometime,No time,0
8835,25 to 34,Female,Ontario,Three household members,notask,Yes,None,No time,Sometime,1
8836,35 to 44,Female,Nova Scotia,Four household members,notask,Yes,None,No time,No time,1
8837,45 to 54,Female,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,1
8838,25 to 34,Female,Alberta,Two household members,notask,Yes,None,Sometime,Sometime,1
8839,45 to 54,Male,Newfoundland and Labrador,One household member,notask,Yes,None,Sometime,No time,0
8840,65 to 74,Female,Ontario,Two household members,notask,No,None,No time,Sometime,0
8841,45 to 54,Female,Prince Edward Island,Two household members,notask,Yes,None,Sometime,Sometime,0
8842,55 to 64,Female,Nova Scotia,Two household members,notask,No,None,Sometime,Sometime,1
8843,75 years and over,Female,Alberta,One household member,notask,No,None,Sometime,Sometime,0
8844,45 to 54,Male,Quebec,Two household members,asked,Yes,None,Sometime,Sometime,0
8845,65 to 74,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
8846,75 years and over,Female,Nova Scotia,One household member,notask,Yes,None,Sometime,Sometime,0
8847,45 to 54,Male,Manitoba,One household member,notask,Yes,Yes,No time,No time,0
8848,45 to 54,Female,Saskatchewan,Four household members,notask,Yes,None,Sometime,Sometime,1
8849,45 to 54,Female,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
8850,15 to 24,Female,Ontario,Five household members,asked,Yes,None,No time,No time,1
8851,25 to 34,Female,Newfoundland and Labrador,Five household members,notask,Yes,Yes,Sometime,No time,1
8852,25 to 34,Female,Nova Scotia,Three household members,notask,Yes,None,Sometime,Sometime,1
8853,75 years and over,Male,Newfoundland and Labrador,Two household members,notask,No,None,Sometime,Sometime,0
8855,25 to 34,Male,New Brunswick,Four household members,notask,Yes,None,No time,No time,1
8856,25 to 34,Female,Nova Scotia,Three household members,notask,No,None,No time,Sometime,1
8857,25 to 34,Male,Manitoba,Four household members,asked,No,None,Sometime,Sometime,1
8858,65 to 74,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,1
8860,35 to 44,Male,Saskatchewan,Four household members,notask,Yes,None,No time,Sometime,1
8861,65 to 74,Female,Nova Scotia,Two household members,notask,No,None,Sometime,Sometime,1
8862,45 to 54,Male,Nova Scotia,Four household members,notask,Yes,None,Sometime,No time,0
8863,15 to 24,Male,Newfoundland and Labrador,Three household members,notask,No,None,Sometime,Sometime,1
8864,25 to 34,Female,Quebec,Four household members,notask,Yes,None,Sometime,Sometime,1
8865,35 to 44,Female,New Brunswick,Four household members,notask,Yes,None,Sometime,Sometime,1
8866,55 to 64,Female,Prince Edward Island,One household member,notask,Yes,None,Sometime,Sometime,0
8867,65 to 74,Female,Quebec,Two household members,notask,No,None,Sometime,Sometime,1
8868,15 to 24,Male,Ontario,Three household members,notask,No,None,Sometime,Sometime,0
8869,65 to 74,Male,Alberta,One household member,asked,Yes,None,No time,Sometime,0
8870,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,1
8871,55 to 64,Female,Alberta,One household member,notask,Yes,None,No time,No time,1
8872,65 to 74,Male,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,1
8873,35 to 44,Female,Manitoba,Four household members,notask,Yes,None,Sometime,Sometime,0
8874,25 to 34,Female,Manitoba,Two household members,notask,Yes,Yes,No time,Sometime,1
8875,75 years and over,Female,Saskatchewan,One household member,notask,No,None,No time,Sometime,0
8876,65 to 74,Male,Ontario,Three household members,notask,Yes,None,Sometime,No time,0
8877,15 to 24,Male,Ontario,Four household members,notask,No,None,Sometime,Sometime,1
8878,45 to 54,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
8879,65 to 74,Female,Manitoba,One household member,notask,Yes,None,Sometime,Sometime,0
8880,45 to 54,Male,Manitoba,Two household members,asked,Yes,None,No time,Sometime,1
8881,65 to 74,Female,Saskatchewan,Two household members,notask,No,None,No time,Sometime,1
8882,45 to 54,Female,Manitoba,Two household members,notask,Yes,None,Sometime,Sometime,0
8883,75 years and over,Female,Quebec,Three household members,notask,No,None,No time,Sometime,0
8884,45 to 54,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
8885,65 to 74,Female,British Columbia,Two household members,notask,No,None,No time,Sometime,0
8886,45 to 54,Male,Alberta,Two household members,notask,Yes,None,Sometime,No time,1
8887,65 to 74,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
8888,25 to 34,Male,Alberta,Four household members,notask,Yes,None,Sometime,Sometime,1
8889,65 to 74,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
8890,65 to 74,Male,Manitoba,Two household members,notask,No,None,Sometime,Sometime,0
8891,25 to 34,Male,Ontario,One household member,notask,Yes,None,Sometime,No time,1
8892,75 years and over,Female,Manitoba,Two household members,notask,No,None,Sometime,Sometime,0
8893,45 to 54,Female,Ontario,Two household members,notask,Yes,Yes,No time,No time,0
8894,25 to 34,Female,Newfoundland and Labrador,Four household members,notask,Yes,None,No time,No time,0
8895,55 to 64,Female,Ontario,Two household members,notask,No,Yes,No time,Sometime,1
8896,35 to 44,Female,Quebec,One household member,notask,Yes,None,No time,Sometime,0
8897,45 to 54,Female,Quebec,Three household members,notask,Yes,None,Sometime,No time,1
8898,65 to 74,Female,Nova Scotia,One household member,notask,Yes,None,Sometime,Sometime,0
8899,45 to 54,Female,Quebec,Two household members,notask,Yes,Yes,Sometime,Sometime,1
8900,75 years and over,Male,Manitoba,Two household members,notask,No,None,No time,Sometime,0
8901,15 to 24,Male,New Brunswick,Four household members,notask,No,None,Sometime,Sometime,0
8902,45 to 54,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
8903,45 to 54,Male,Ontario,Six household members or more,notask,No,None,No time,Sometime,1
8904,35 to 44,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
8905,65 to 74,Female,Saskatchewan,Three household members,notask,No,None,Sometime,Sometime,1
8906,45 to 54,Male,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,1
8907,35 to 44,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
8908,45 to 54,Female,Ontario,Six household members or more,notask,Yes,None,Sometime,Sometime,1
8909,25 to 34,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,1
8910,25 to 34,Female,Quebec,Two household members,notask,Yes,Yes,No time,Sometime,1
8911,15 to 24,Male,Quebec,Three household members,notask,No,Yes,Sometime,No time,1
8912,45 to 54,Male,Prince Edward Island,Two household members,notask,No,None,No time,Sometime,1
8913,45 to 54,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
8914,65 to 74,Female,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
8915,35 to 44,Male,Ontario,Three household members,notask,Yes,None,No time,Sometime,0
8916,15 to 24,Male,New Brunswick,Five household members,notask,No,None,No time,Sometime,0
8917,55 to 64,Male,Newfoundland and Labrador,One household member,notask,No,None,Sometime,Sometime,1
8918,55 to 64,Female,Manitoba,Three household members,notask,No,None,No time,Sometime,0
8920,35 to 44,Female,Saskatchewan,Three household members,notask,Yes,None,Sometime,Sometime,1
8921,45 to 54,Female,Nova Scotia,One household member,notask,Yes,None,Sometime,Sometime,0
8922,65 to 74,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,1
8923,25 to 34,Female,Newfoundland and Labrador,Four household members,notask,Yes,None,No time,Sometime,0
8924,45 to 54,Male,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,0
8925,65 to 74,Female,Quebec,One household member,notask,No,None,Sometime,Sometime,0
8926,25 to 34,Female,Prince Edward Island,Four household members,notask,Yes,None,No time,Sometime,1
8927,75 years and over,Male,British Columbia,One household member,notask,No,None,No time,Sometime,0
8928,25 to 34,Female,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,1
8929,25 to 34,Male,Saskatchewan,Two household members,notask,Yes,None,Sometime,No time,1
8930,25 to 34,Female,Manitoba,Three household members,notask,Yes,None,Sometime,Sometime,1
8931,15 to 24,Female,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,1
8932,65 to 74,Female,Quebec,One household member,notask,Yes,None,No time,Sometime,0
8933,45 to 54,Male,British Columbia,Six household members or more,notask,Yes,None,No time,Sometime,1
8934,45 to 54,Male,Ontario,Five household members,asked,Yes,None,No time,No time,1
8935,35 to 44,Female,Alberta,Two household members,asked,Yes,None,No time,Sometime,1
8936,25 to 34,Female,British Columbia,Two household members,notask,Yes,Yes,No time,Sometime,1
8937,75 years and over,Female,New Brunswick,Two household members,notask,Yes,None,Sometime,Sometime,0
8938,45 to 54,Male,Ontario,One household member,notask,No,None,No time,Sometime,1
8939,65 to 74,Male,Manitoba,Two household members,notask,Yes,None,Sometime,Sometime,1
8940,55 to 64,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,1
8941,45 to 54,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
8942,55 to 64,Female,Saskatchewan,Two household members,notask,No,None,No time,Sometime,0
8943,45 to 54,Female,Ontario,One household member,notask,No,None,Sometime,Sometime,1
8944,45 to 54,Male,Alberta,One household member,notask,Yes,None,No time,Sometime,0
8945,15 to 24,Male,Ontario,Four household members,notask,No,None,No time,Sometime,1
8946,45 to 54,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
8947,25 to 34,Female,Quebec,One household member,notask,Yes,None,No time,Sometime,0
8948,25 to 34,Female,Nova Scotia,Three household members,asked,Yes,None,No time,Sometime,0
8949,75 years and over,Male,British Columbia,Two household members,notask,No,None,No time,Sometime,0
8950,35 to 44,Female,Alberta,Four household members,notask,Yes,None,No time,No time,1
8951,55 to 64,Female,British Columbia,One household member,notask,No,None,No time,No time,1
8952,35 to 44,Female,Ontario,Five household members,notask,Yes,Yes,No time,Sometime,1
8953,55 to 64,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
8954,35 to 44,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,1
8955,45 to 54,Female,Nova Scotia,One household member,asked,No,None,No time,Sometime,0
8956,65 to 74,Male,Ontario,One household member,notask,No,None,Sometime,Sometime,0
8957,55 to 64,Male,Nova Scotia,Two household members,notask,Yes,None,Sometime,Sometime,0
8958,15 to 24,Female,Ontario,Four household members,notask,Yes,None,No time,No time,1
8959,55 to 64,Male,Newfoundland and Labrador,One household member,notask,Yes,None,Sometime,Sometime,1
8960,35 to 44,Male,Prince Edward Island,Four household members,notask,Yes,None,Sometime,Sometime,0
8961,55 to 64,Male,Nova Scotia,Two household members,asked,No,None,No time,Sometime,1
8962,35 to 44,Male,Quebec,Three household members,notask,Yes,None,No time,Sometime,1
8963,45 to 54,Male,Manitoba,One household member,notask,No,None,No time,Sometime,0
8964,45 to 54,Female,Quebec,Two household members,notask,No,None,No time,No time,0
8965,55 to 64,Female,British Columbia,One household member,notask,No,None,No time,No time,0
8966,25 to 34,Male,Ontario,Two household members,asked,Yes,None,Sometime,Sometime,1
8967,65 to 74,Female,Saskatchewan,One household member,notask,Yes,None,No time,Sometime,0
8968,65 to 74,Female,Quebec,One household member,notask,No,None,Sometime,Sometime,0
8969,75 years and over,Female,Newfoundland and Labrador,One household member,notask,No,None,Sometime,Sometime,0
8970,45 to 54,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
8971,15 to 24,Female,Prince Edward Island,Three household members,notask,Yes,None,Sometime,Sometime,1
8972,25 to 34,Female,British Columbia,Two household members,asked,Yes,None,Sometime,Sometime,0
8973,45 to 54,Female,Ontario,One household member,notask,No,None,No time,Sometime,1
8974,55 to 64,Male,British Columbia,Six household members or more,notask,Yes,None,No time,Sometime,0
8975,45 to 54,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,1
8976,15 to 24,Female,New Brunswick,Four household members,notask,No,None,No time,No time,1
8977,15 to 24,Female,Prince Edward Island,Two household members,notask,Yes,None,No time,Sometime,1
8978,45 to 54,Male,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,1
8979,25 to 34,Female,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,1
8980,15 to 24,Male,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
8981,35 to 44,Male,Ontario,Three household members,notask,Yes,None,No time,Sometime,0
8983,25 to 34,Female,Ontario,Five household members,notask,No,None,No time,Sometime,0
8984,65 to 74,Female,Manitoba,One household member,notask,No,None,Sometime,Sometime,0
8985,55 to 64,Male,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
8986,45 to 54,Male,British Columbia,Three household members,asked,No,None,Sometime,No time,1
